userName,major,researchExp,industryExp,specialization,toeflScore,program,department,internExp,greV,greQ,journalPubs,greA,termAndYear,confPubs,ugCollege,univName,admit,topperCgpaScale,CgpaScale
6842,56,0,0,1830,0.2507738421946183,2,967,0,-0.6987666386394986,-0.7649481950392829,0.0,5.5,17,0.0,905,20,1,0.95,0.799
6843,137,0,0,2779,-2.2012403251064043,1,171,0,-1.4575551746192354,-1.2791949593112064,0.0,0.0,17,0.0,1359,39,1,0.95,0.925
6844,137,0,0,1624,0.031844005828455584,1,910,0,-0.7815435698372881,-0.7928290437046281,0.0,3.0,19,0.0,1657,47,1,0.9,0.7929999999999999
6845,165,0,0,257,0.3164527931044671,1,1113,0,-0.7585499778379021,-0.7866332995567736,0.0,4.0,19,0.0,871,45,1,0.81,0.55
6846,56,0,0,1041,0.2507738421946183,1,387,0,1.3016758653070803,1.199102699830594,0.0,3.5,15,0.0,256,44,1,0.86,0.705
6848,39,0,0,3593,0.14130892401153694,1,1334,0,1.2097014973095366,1.199102699830594,0.0,3.5,15,0.0,1153,13,1,0.0,0.0
6850,48,0,0,3371,0.36023876037769964,1,207,0,-0.7033653570393757,-0.7649481950392829,0.0,4.5,19,0.0,568,7,1,0.0,0.8170000000000001
6852,137,0,0,2001,-0.2308717978109397,1,199,0,-0.7953397250369196,-0.7897311716307008,0.0,3.0,23,0.0,1519,14,1,0.8,0.7
6853,77,0,0,2303,-0.011941961444776958,1,477,0,1.3016758653070803,1.0442090961342314,0.0,3.5,17,0.0,1356,0,1,0.91,0.861
6854,188,0,0,2001,0.22888085855800205,1,1171,0,-0.7401551042383934,-0.7618503229653556,0.0,4.0,22,0.0,1545,34,1,0.78,0.6825
6855,123,0,0,2001,0.3164527931044671,1,967,0,1.3476630493058523,1.199102699830594,0.0,4.0,17,0.0,960,49,1,0.915,0.8150000000000001
6856,115,0,0,2001,-2.2012403251064043,1,1,0,-1.4575551746192354,-1.2791949593112064,0.0,0.0,17,0.0,1026,20,1,0.0,0.0
6857,77,0,44,2341,0.07562997310168812,1,587,0,-0.7631486962377793,-0.7773396833349918,0.0,4.0,22,0.0,1328,13,1,0.76,0.64
6859,122,0,0,2038,0.22888085855800205,1,320,0,1.1637143133107646,0.9512729339164141,0.0,3.0,15,0.0,1631,11,1,0.75,0.5660000000000001
6860,80,0,0,1345,0.2507738421946183,1,635,0,1.2556886813083084,1.1681239790913214,0.0,4.0,17,0.0,871,44,1,0.8,0.7
6861,75,0,0,2001,0.1632019076481532,1,467,0,-0.7447538226382705,-0.7804375554089191,0.0,4.0,19,0.0,96,5,1,1.0,0.9059999999999999
6862,77,0,0,1373,0.20698787492138573,1,599,0,-0.7631486962377793,-0.7804375554089191,0.0,4.0,19,0.0,1159,43,1,0.85,0.75
6863,89,0,0,530,0.36023876037769964,1,647,0,-0.7217602306388845,-0.7649481950392829,0.0,3.5,17,0.0,642,34,1,0.8472,0.8472
6864,56,0,44,705,0.031844005828455584,1,320,0,-0.7677474146376565,-0.7897311716307008,0.0,4.0,23,0.0,642,47,1,0.0,0.8178
6865,89,0,0,2591,0.20698787492138573,1,467,0,0.9337783933169048,1.1371452583520492,0.0,3.0,12,0.0,384,14,1,0.966,0.955
6866,18,0,0,2001,-2.2012403251064043,1,1,0,1.0257527613144488,0.6105070057844164,0.0,3.5,15,0.0,1026,14,1,0.0,0.75
6867,55,0,0,2787,-0.31844373235740475,1,792,0,0.15199626533778213,1.1371452583520492,0.0,3.0,19,0.0,1152,44,1,0.78,0.64
6868,91,0,0,2001,-0.1870858305377071,1,792,0,1.1637143133107646,1.1681239790913214,0.0,3.5,17,0.0,871,0,1,0.82,0.7004
6869,56,0,0,2103,0.36023876037769964,1,967,0,1.5316117853009399,1.199102699830594,0.0,4.5,12,0.0,1070,13,1,0.9209999999999999,0.8880000000000001
6870,56,0,0,2001,-0.03383494508139323,1,320,0,-0.7953397250369196,-0.7928290437046281,0.0,3.5,42,0.0,1152,42,1,0.57,0.0
6871,119,0,36,2001,-0.011941961444776958,1,967,6,-0.7631486962377793,-0.7742418112610646,1.0,3.0,22,0.0,669,20,1,0.0,0.69
6873,201,0,0,2049,-0.4060156669038698,1,626,0,-0.7907410066370425,-0.8021226599264099,0.0,2.5,19,0.0,1724,14,1,0.8869999999999999,0.7230000000000001
6875,165,0,0,2472,0.3164527931044671,1,1066,0,1.7615477052947996,1.1681239790913214,0.0,5.0,15,0.0,1019,2,1,0.85,0.8295
6876,2,0,0,408,-2.2012403251064043,4,1,0,-1.4575551746192354,-1.2791949593112064,0.0,0.0,17,0.0,1026,36,1,0.0,0.0
6877,48,0,0,2001,0.20698787492138573,1,590,0,1.1637143133107646,1.199102699830594,0.0,4.0,17,0.0,1152,45,1,0.0,0.0
6878,115,0,0,1873,0.2726668258312346,1,1140,0,-0.7309576674386391,-0.7649481950392829,0.0,4.5,19,0.0,954,50,1,0.92,0.8029999999999999
6879,114,0,0,2001,-2.2012403251064043,2,587,0,-0.7263589490387617,-0.7773396833349918,0.0,3.5,19,0.0,199,9,1,0.86,0.83
6880,56,0,0,900,0.20698787492138573,1,207,0,1.2556886813083084,1.1371452583520492,0.0,5.0,15,0.0,1562,40,1,0.85,0.7
6881,208,0,42,519,0.07562997310168812,1,736,2,-0.7493525410381477,-0.7742418112610646,0.0,3.5,22,0.0,638,37,1,0.8959999999999999,0.8364
6882,77,0,0,3373,-0.31844373235740475,1,1406,0,-0.8091358802365513,-0.7618503229653556,0.0,2.5,19,0.0,638,6,1,0.0,0.6779999999999999
6883,48,0,0,3120,0.053736989465071855,1,590,0,0.887791209318133,1.1371452583520492,0.0,3.0,15,0.0,547,29,1,1.0,0.92
6885,137,0,0,2001,-2.2012403251064043,1,1,0,-1.3471859330221827,-1.1335949718366256,0.0,0.0,19,0.0,1026,20,1,0.0,0.0
6886,56,0,0,2001,-0.055727928718009495,1,382,0,-0.7677474146376565,-0.7711439391871374,0.0,3.0,22,0.0,701,44,1,0.94,0.867
6887,56,0,0,2140,0.3164527931044671,1,207,0,1.485624601302168,1.199102699830594,0.0,3.0,15,0.0,788,4,1,0.83,0.79
6888,48,0,0,2001,0.2507738421946183,2,467,0,-0.707964075439253,-0.7525567067435739,0.0,4.0,19,0.0,256,0,1,0.0,0.78
6889,38,0,0,2285,0.2726668258312346,4,225,0,1.439637417303396,0.8893154924378689,0.0,4.0,15,0.0,1242,44,1,0.0,0.0
6890,56,0,0,2001,0.20698787492138573,1,343,0,-0.7309576674386391,-0.7525567067435739,0.0,4.0,19,0.0,1433,44,1,0.86,0.835
6891,137,0,19,2001,0.0975229567383044,1,910,0,-0.7447538226382705,-0.7618503229653556,0.0,4.5,23,0.0,871,32,1,0.85,0.6895
6892,77,0,0,2802,-2.2012403251064043,1,467,0,0.33594500133286986,0.8583367716985965,0.0,4.0,40,0.0,1660,47,1,0.934,0.8119999999999999
6893,56,0,0,1039,0.07562997310168812,1,320,0,-0.7723461330375336,-0.7866332995567736,0.0,3.5,19,0.0,1356,14,1,0.87,0.8281000000000001
6894,48,0,0,3010,0.2507738421946183,1,467,0,1.669573337297256,1.199102699830594,0.0,4.0,14,0.0,978,24,1,0.0,0.9
6895,56,0,0,2001,-0.14329986326447458,1,467,0,-0.0319524706573056,1.075187816873504,0.0,3.5,15,0.0,1237,11,1,0.83,0.64
6896,165,0,0,1080,0.11941594037492065,1,1140,0,-0.7677474146376565,-0.7959269157785553,0.0,3.0,19,0.0,1152,20,1,0.0,0.653
6897,165,0,6,2377,0.20698787492138573,1,1,6,-0.7585499778379021,-0.7804375554089191,0.0,3.0,22,0.0,1026,44,1,0.9590000000000001,0.9
6898,89,0,0,3036,-0.340336715994021,1,1368,0,-0.7953397250369196,-0.7680460671132101,0.0,3.0,22,0.0,638,42,1,0.84,0.775
6899,56,0,0,2001,-0.3841226832672536,1,1348,0,-0.8045371618366741,-0.7897311716307008,0.0,3.0,19,0.0,1152,14,1,0.0,0.6415000000000001
6900,49,0,0,2103,0.2945598094678508,1,346,0,0.887791209318133,1.199102699830594,0.0,4.0,15,0.0,548,44,1,0.99,0.852
6901,18,0,0,2001,0.009951022191839312,1,1,0,-1.4575551746192354,-1.2791949593112064,0.0,0.0,18,0.0,1026,4,1,0.0,0.0
6902,56,0,0,1618,0.11941594037492065,1,346,0,1.0257527613144488,1.1681239790913214,0.0,3.5,15,0.0,548,29,1,0.96,0.851
6903,77,0,0,2001,0.36023876037769964,1,474,0,1.7155605212960277,1.199102699830594,0.0,5.0,15,0.0,539,26,1,1.0,0.8640000000000001
6904,56,0,0,2001,0.1632019076481532,1,910,0,-0.7677474146376565,-0.7742418112610646,0.0,4.0,22,0.0,1014,14,1,0.95,0.8
6905,56,0,48,2001,0.22888085855800205,1,477,0,-0.7263589490387617,-0.7587524508914284,0.0,4.0,22,0.0,638,4,1,0.84,0.815
6906,39,0,0,3541,-0.16519284690109085,1,1336,0,-0.8091358802365513,-0.7773396833349918,0.0,2.5,19,0.0,132,45,1,0.0,0.0
6907,77,0,0,2334,-0.16519284690109085,1,590,0,-0.7585499778379021,-0.7835354274828463,0.0,3.5,17,0.0,1412,0,1,0.82,0.8038
6908,77,0,0,1252,0.031844005828455584,1,635,0,0.38193218533164175,1.199102699830594,0.0,2.5,17,0.0,673,42,1,0.0,0.62
6909,53,0,0,2001,0.20698787492138573,1,320,0,-0.7263589490387617,-0.7804375554089191,0.0,4.0,17,0.0,719,2,1,0.0,0.752
6910,56,0,0,843,-0.1214068796278583,1,967,0,-0.399849942647481,0.7963793302200514,0.0,3.5,19,0.0,1108,11,1,0.89,0.84
6911,165,0,0,1917,-0.03383494508139323,1,1140,0,1.5316117853009399,1.1371452583520492,0.0,3.5,19,0.0,1115,44,1,0.91,0.853
6912,56,0,0,1147,-2.2012403251064043,1,199,0,-0.7677474146376565,-0.7711439391871374,0.0,4.0,19,0.0,1342,15,1,0.96,0.8800000000000001
6914,77,0,0,283,-2.04798943965009,1,460,0,0.06002189734023825,1.199102699830594,0.0,2.5,15,0.0,159,11,1,0.78,0.7
